Date,Forecasted_Sales,Lower_CI,Upper_CI
2015-08-01,6714521.525610974,5028987.221567762,8333674.454244796
2015-08-02,0.0,0.0,1619437.4098682269
2015-08-03,7865245.286951924,6250411.798494334,9463131.907712962
2015-08-04,6566119.76743471,4855493.96598151,8202537.813267768
2015-08-05,6176042.23155723,4421058.916001074,7647018.195917131
2015-08-06,6060853.329651311,4388046.927437049,7752593.2534093885
2015-08-07,6597668.740697006,4870975.217416186,8331167.5004818225
2015-08-08,6675408.920152921,5118339.459966676,8334375.799009055
2015-08-09,0.0,0.0,1658798.9611149575
2015-08-10,10584976.049055936,8940752.24739566,12362200.04202782
2015-08-11,9304741.55808172,7641239.114751773,11021823.873639693
2015-08-12,8937849.936235331,7313524.447481298,10605201.379263164
2015-08-13,8846974.793760328,7308512.144490057,10339318.918609608
2015-08-14,9410152.263918858,7835218.456413962,11047076.211473456
2015-08-15,6790455.641827711,5122548.582702994,8523727.062712058
2015-08-16,39519.94879100365,0.0,1694930.86254259
2015-08-17,8028837.126848626,6299312.462340249,9767303.756442256
2015-08-18,6756219.51902623,5161879.303085124,8465890.922531076
2015-08-19,6397345.608122157,4734487.898015937,7947473.848075114
2015-08-20,6311956.719369445,4555089.15553911,7989807.369570238
2015-08-21,6879363.630910137,5218010.383342086,8493660.169651844
2015-08-22,6978711.560285187,5337167.235109465,8584916.989809433
2015-08-23,195942.71769145076,0.0,1821076.6833120557
2015-08-24,10943789.203486474,9259775.993618414,12609412.392788202
2015-08-25,9655267.889208464,8159053.149503627,11287475.750332272
2015-08-26,9280726.902788004,7832881.578085218,10912520.431079121
2015-08-27,9177752.050822653,7633492.227896699,10845167.434989799
2015-08-28,9727703.877032159,8074110.370723131,11417292.321993614
2015-08-29,7063120.423710358,5377580.054695908,8573014.765534356
2015-08-30,228670.82971634695,0.0,1790432.7916775867
